127.0.0.1 - - [13/Dec/2017:17:04:22 +0800] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [13/Dec/2017:17:04:45 +0800] "GET /article/login.jsp HTTP/1.1" 404 985
0:0:0:0:0:0:0:1 - - [13/Dec/2017:17:04:45 +0800] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [13/Dec/2017:17:04:54 +0800] "GET /Article/login.jsp HTTP/1.1" 200 3375
0:0:0:0:0:0:0:1 - - [13/Dec/2017:17:04:54 +0800] "GET /Article/static/css/index.css HTTP/1.1" 200 3327
0:0:0:0:0:0:0:1 - - [13/Dec/2017:17:04:54 +0800] "GET /Article/static/js/jQuery.js HTTP/1.1" 200 83100
0:0:0:0:0:0:0:1 - - [13/Dec/2017:17:04:56 +0800] "POST /Article/controller/loginController.jsp HTTP/1.1" 500 4812
0:0:0:0:0:0:0:1 - - [13/Dec/2017:17:04:57 +0800] "POST /Article/controller/loginController.jsp HTTP/1.1" 500 3946
0:0:0:0:0:0:0:1 - - [13/Dec/2017:17:04:58 +0800] "POST /Article/controller/loginController.jsp HTTP/1.1" 500 3946
0:0:0:0:0:0:0:1 - - [13/Dec/2017:17:05:03 +0800] "POST /Article/controller/loginController.jsp HTTP/1.1" 500 3946
0:0:0:0:0:0:0:1 - - [13/Dec/2017:17:06:52 +0800] "GET /Article/login.jsp HTTP/1.1" 200 3375
0:0:0:0:0:0:0:1 - - [13/Dec/2017:17:06:52 +0800] "GET /Article/login.jsp HTTP/1.1" 200 3375
0:0:0:0:0:0:0:1 - - [13/Dec/2017:17:06:52 +0800] "GET /Article/login.jsp HTTP/1.1" 200 3375
0:0:0:0:0:0:0:1 - - [13/Dec/2017:17:06:53 +0800] "GET /Article/login.jsp HTTP/1.1" 200 3375
0:0:0:0:0:0:0:1 - - [13/Dec/2017:17:06:53 +0800] "GET /Article/login.jsp HTTP/1.1" 200 3375
0:0:0:0:0:0:0:1 - - [13/Dec/2017:17:06:53 +0800] "GET /Article/login.jsp HTTP/1.1" 200 3375
0:0:0:0:0:0:0:1 - - [13/Dec/2017:17:06:57 +0800] "POST /Article/controller/loginController.jsp HTTP/1.1" 500 3946
0:0:0:0:0:0:0:1 - - [13/Dec/2017:17:07:00 +0800] "POST /Article/controller/loginController.jsp HTTP/1.1" 500 3946
0:0:0:0:0:0:0:1 - - [13/Dec/2017:17:42:42 +0800] "POST /Article/controller/loginController.jsp HTTP/1.1" 500 4344
0:0:0:0:0:0:0:1 - - [13/Dec/2017:17:43:39 +0800] "POST /Article/controller/loginController.jsp HTTP/1.1" 500 3598
0:0:0:0:0:0:0:1 - - [13/Dec/2017:17:43:39 +0800] "POST /Article/controller/loginController.jsp HTTP/1.1" 500 3598
0:0:0:0:0:0:0:1 - - [13/Dec/2017:17:51:14 +0800] "GET /Article/login.jsp HTTP/1.1" 200 3383
0:0:0:0:0:0:0:1 - - [13/Dec/2017:17:51:15 +0800] "POST /Article/controller/loginController.jsp HTTP/1.1" 200 13
0:0:0:0:0:0:0:1 - - [13/Dec/2017:17:51:15 +0800] "GET /Article HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [13/Dec/2017:17:51:15 +0800] "GET /Article/ HTTP/1.1" 200 5425
0:0:0:0:0:0:0:1 - - [13/Dec/2017:17:51:15 +0800] "GET /Article/static/image/.png HTTP/1.1" 404 1001
0:0:0:0:0:0:0:1 - - [13/Dec/2017:17:51:15 +0800] "GET /Article/static/js/index.js HTTP/1.1" 200 1205
